"Story","Title","Result","Date","Stability","Duration (s)"
"Booking CURD test with steps","This method will create a Token","SUCCESS","2023-06-06T22:23:31.556+01:00[Europe/London]","0.0","12.84"
"Booking CURD test with steps","This method will create and verify a booking","SUCCESS","2023-06-06T22:23:44.491+01:00[Europe/London]","0.0","2.14"
"Booking CURD test with steps","This method will get booking with Id","SUCCESS","2023-06-06T22:23:46.634+01:00[Europe/London]","0.0","0.77"
"Booking CURD test with steps","This method will updated a booking with ID","SUCCESS","2023-06-06T22:23:47.409+01:00[Europe/London]","0.0","1.3"
"Booking CURD test with steps","This method will delete a booking with ID","SUCCESS","2023-06-06T22:23:48.709+01:00[Europe/London]","0.0","1.29"
